variable,,T2,T2,TSK,TSK
stat,,mean,std,mean,std
domain,time,,,,
d01,2016-05-25 06:00:00,287.7652893066406,0.3123176395893097,283.6128845214844,0.6416617631912231
d01,2016-05-25 16:00:00,300.1569519042969,0.34908998012542725,301.66607666015625,0.7891761660575867
d01,2016-05-26 06:00:00,291.1903381347656,0.6089829802513123,287.2739562988281,1.7484594583511353
d01,2016-05-26 16:00:00,302.6954650878906,0.3882763981819153,303.9710998535156,0.913176953792572
d01,2016-05-27 06:00:00,291.5969543457031,0.3220921456813812,290.1556701660156,0.30109426379203796
d01,2016-05-27 16:00:00,302.8080139160156,0.2578728199005127,305.2474670410156,0.4988327920436859
d01,2016-05-28 06:00:00,292.2962341308594,0.2134123146533966,291.292236328125,0.25473517179489136
d01,2016-05-28 16:00:00,303.8455505371094,0.4378252327442169,305.5491638183594,0.8387894034385681
d01,2016-05-29 06:00:00,290.0376892089844,0.24389760196208954,287.7469482421875,0.4998392164707184
d01,2016-05-29 16:00:00,302.5052185058594,0.2944231927394867,304.3279113769531,0.6073861718177795
d01,2016-05-30 06:00:00,293.3658447265625,0.3114035427570343,293.3240051269531,0.35790762305259705
d01,2016-05-30 16:00:00,300.4447326660156,0.7457748651504517,302.925537109375,1.4581544399261475
d01,2016-05-31 06:00:00,291.73828125,0.24814654886722565,291.466552734375,0.36473289132118225
d01,2016-05-31 16:00:00,301.5502014160156,0.46663960814476013,303.79052734375,0.8038211464881897
d01,2016-06-01 06:00:00,290.32958984375,0.3325657248497009,288.8525085449219,0.41227754950523376
d01,2016-06-01 16:00:00,300.8363037109375,0.35024890303611755,302.4218444824219,0.6942263245582581
d01,2016-06-02 06:00:00,291.6517639160156,0.2950790822505951,291.82861328125,0.26240989565849304
d01,2016-06-02 16:00:00,300.9578552246094,0.32820284366607666,304.5681457519531,0.7902145981788635
d01,2016-06-03 06:00:00,293.2355651855469,0.2781846821308136,293.3101501464844,0.3060305416584015
d01,2016-06-03 16:00:00,302.2302551269531,0.2936369478702545,305.6905822753906,0.6235669255256653
d01,2016-06-04 06:00:00,292.6021728515625,0.4042043089866638,291.8993225097656,0.7820999026298523
d01,2016-06-04 16:00:00,302.6097717285156,0.43285486102104187,305.3872375488281,0.5088550448417664
d01,2016-06-05 06:00:00,294.7935485839844,0.3428063988685608,294.6949462890625,0.4414728283882141
d01,2016-06-05 16:00:00,302.1204528808594,0.2334636151790619,303.9024658203125,0.30351027846336365
d01,2016-06-06 06:00:00,290.8609924316406,0.4059383273124695,289.81298828125,0.34650200605392456
d01,2016-06-06 16:00:00,301.0500183105469,0.4225112199783325,302.7147216796875,0.8997244834899902
d01,2016-06-07 06:00:00,291.4187316894531,0.36162155866622925,290.4820861816406,0.8091834783554077
d01,2016-06-07 16:00:00,299.5008850097656,0.6391780376434326,300.6243896484375,1.1949390172958374
d01,2016-06-08 06:00:00,283.5063171386719,0.1730118989944458,282.4906005859375,0.2883621156215668
d01,2016-06-08 16:00:00,291.5668640136719,0.4768601655960083,293.9198913574219,1.1396329402923584
d01,2016-06-09 06:00:00,280.8546142578125,0.21732638776302338,279.6224060058594,0.26363933086395264
d01,2016-06-09 16:00:00,295.1655578613281,0.5338095426559448,297.1358337402344,1.116040825843811
d01,2016-06-10 06:00:00,282.148193359375,0.33039987087249756,280.9837646484375,0.3269307017326355
d01,2016-06-10 16:00:00,297.0091552734375,0.3564094007015228,299.548095703125,0.8721250295639038
d01,2016-06-11 06:00:00,290.14892578125,0.4136270582675934,289.64154052734375,0.21095217764377594
d01,2016-06-11 16:00:00,305.503662109375,0.48626765608787537,306.0274658203125,1.0153404474258423
d01,2016-06-12 06:00:00,294.4552001953125,0.3226526379585266,293.0467834472656,0.27216288447380066
d01,2016-06-12 16:00:00,300.5855407714844,0.7558935880661011,301.4951171875,1.2642457485198975
d01,2016-06-13 06:00:00,282.937255859375,0.48603513836860657,282.1133117675781,0.4562605619430542
d01,2016-06-13 16:00:00,296.5065612792969,0.29946237802505493,300.12066650390625,0.8476025462150574
d01,2016-06-14 06:00:00,285.2226867675781,0.2930624485015869,284.2323303222656,0.3540497422218323
d01,2016-06-14 16:00:00,296.0592956542969,0.4572848975658417,300.1988220214844,0.874389111995697
d01,2016-06-15 06:00:00,289.8591613769531,0.276309996843338,288.1365661621094,1.0993677377700806
d01,2016-06-15 16:00:00,300.3970031738281,0.22012969851493835,303.5611877441406,0.5340079665184021
d01,2016-06-16 06:00:00,292.9537353515625,0.20060312747955322,293.0044860839844,0.20494113862514496
d01,2016-06-16 16:00:00,298.385009765625,0.5645021200180054,298.81298828125,0.6981041431427002
d01,2016-06-17 06:00:00,288.53515625,0.4808681011199951,288.51513671875,0.4435259997844696
d01,2016-06-17 16:00:00,298.5347900390625,0.37131911516189575,301.5394592285156,0.8367565274238586
d01,2016-06-18 06:00:00,288.4394226074219,0.38162487745285034,285.6885070800781,1.4896674156188965
d01,2016-06-18 16:00:00,300.057861328125,0.44123411178588867,303.69488525390625,0.6803460121154785
d01,2016-06-19 06:00:00,288.4996643066406,0.4423915147781372,286.4117431640625,0.7629842758178711
d01,2016-06-19 16:00:00,301.1986999511719,0.5471237897872925,303.562255859375,1.1595630645751953
d01,2016-06-20 06:00:00,292.3315734863281,0.11693461984395981,291.355224609375,0.16031567752361298
d01,2016-06-20 16:00:00,303.6196594238281,0.47072646021842957,304.98779296875,1.0797168016433716
d01,2016-06-21 06:00:00,295.3992004394531,0.44493961334228516,294.2711486816406,0.34374764561653137
