Time,T2,SWDNB,SWUPB,LWDNB,LWUPB,LH,HFX
2016-05-26 20:00:00,23.7002868652,41.990272522,6.09128332138,378.338623047,426.380523682,36.6500701904,-35.6675605774
2016-05-26 21:00:00,22.8370361328,0.0,0.0,377.145080566,415.550384521,9.69784832001,-29.8729457855
2016-05-26 22:00:00,22.1386108398,0.0,0.0,374.379180908,413.122253418,15.9805345535,-38.065196991
2016-05-26 23:00:00,21.5609741211,0.0,0.0,371.769317627,409.267425537,10.0046482086,-27.3937320709
2016-05-27 00:00:00,21.6612548828,0.0,0.0,378.293212891,404.655639648,4.59864139557,-13.615281105
2016-05-27 01:00:00,21.2914733887,0.0,0.0,399.970306396,414.068634033,11.6526985168,-16.3009033203
2016-05-27 02:00:00,20.9548950195,0.0,0.0,398.136169434,413.823760986,13.816403389,-21.6595363617
2016-05-27 03:00:00,20.2807312012,0.0,0.0,368.629486084,402.855102539,2.45491528511,-18.6725463867
2016-05-27 04:00:00,19.9369506836,0.0,0.0,366.121673584,397.36706543,-1.51116478443,-8.07712745667
2016-05-27 05:00:00,19.1423950195,0.0,0.0,363.854492188,393.969787598,-2.7844645977,-5.00071763992
2016-05-27 06:00:00,19.5488586426,7.94097709656,1.15195131302,364.00491333,393.052947998,-3.3435382843,-4.93796491623
2016-05-27 07:00:00,21.0084533691,159.776062012,23.177772522,365.207427979,419.165039062,59.819229126,5.4312787056
2016-05-27 08:00:00,22.647644043,351.015655518,50.9197883606,369.400390625,437.90032959,140.806945801,55.1242103577
2016-05-27 09:00:00,24.8167419434,541.127868652,78.4982833862,377.037506104,457.83001709,232.420028687,96.2396316528
2016-05-27 10:00:00,26.8278808594,710.235778809,103.029754639,386.036956787,475.862670898,325.095733643,126.634925842
2016-05-27 11:00:00,28.6133422852,844.203613281,122.463676453,394.450561523,490.579864502,406.280517578,146.526565552
2016-05-27 12:00:00,29.2269287109,932.361755371,135.25227356,398.270751953,499.651489258,452.589477539,169.130981445
2016-05-27 13:00:00,29.7200317383,968.395935059,140.479537964,399.87890625,503.302307129,477.276855469,175.133102417
2016-05-27 14:00:00,29.8855895996,948.271240234,137.560165405,400.717803955,500.214416504,480.888641357,168.722976685
2016-05-27 15:00:00,29.109954834,874.395385742,126.843429565,399.414031982,492.996276855,437.468322754,163.94833374
2016-05-27 16:00:00,26.6316833496,525.450561523,76.224029541,405.026519775,474.665222168,343.662780762,35.0806808472
2016-05-27 17:00:00,25.1362915039,171.085189819,24.8183250427,400.709686279,436.040100098,156.046386719,-46.7310409546
2016-05-27 18:00:00,26.7079162598,400.764373779,58.1365509033,391.982543945,447.779022217,231.597305298,26.4117584229
2016-05-27 19:00:00,25.8962097168,214.145217896,31.0647945404,391.694335938,449.276702881,123.787910461,-6.25417757034
2016-05-27 20:00:00,24.3759460449,43.0940132141,6.25139570236,391.38381958,436.490325928,31.2715530396,-31.5695800781
2016-05-27 21:00:00,23.9695129395,0.0,0.0,390.431518555,419.708709717,-1.70285642147,-8.72168731689
2016-05-27 22:00:00,22.8218078613,0.0,0.0,388.921936035,421.979309082,1.27081274986,-20.0357398987
2016-05-27 23:00:00,21.8893432617,0.0,0.0,384.438842773,418.27355957,1.16789889336,-19.5883331299
2016-05-28 00:00:00,21.369354248,0.0,0.0,381.657745361,414.812072754,0.743056178093,-16.8354892731
2016-05-28 01:00:00,20.9448547363,0.0,0.0,378.464324951,410.027557373,-1.58030152321,-10.1788282394
2016-05-28 02:00:00,20.4977722168,0.0,0.0,376.019622803,407.113952637,-2.58175611496,-9.51964950562
2016-05-28 03:00:00,20.0327148438,0.0,0.0,373.836364746,405.687805176,-4.25246953964,-9.76139640808
2016-05-28 04:00:00,19.6560974121,0.0,0.0,372.587402344,405.310302734,-5.71737670898,-10.9614906311
2016-05-28 05:00:00,19.4423828125,0.0,0.0,371.143859863,401.689422607,-6.04048061371,-6.42478370667
2016-05-28 06:00:00,19.9080810547,8.63879489899,1.25317931175,372.491210938,401.63671875,-4.46065282822,-7.00728178024
2016-05-28 07:00:00,21.4348144531,159.74559021,23.1733551025,374.75100708,422.773864746,62.5359992981,9.99216747284
2016-05-28 08:00:00,22.9977111816,349.556304932,50.7080955505,379.212402344,440.931488037,144.167114258,59.8889274597
2016-05-28 09:00:00,25.0032348633,538.590698242,78.1302185059,385.501159668,459.80657959,231.370819092,105.469184875
2016-05-28 10:00:00,26.8179321289,707.450256348,102.625671387,392.499633789,476.672271729,316.531036377,142.996429443
2016-05-28 11:00:00,28.456817627,841.588134766,122.08429718,399.290405273,491.654937744,389.259429932,168.49899292
2016-05-28 12:00:00,29.4081115723,931.221557617,135.086837769,402.219024658,500.003051758,446.764801025,181.174163818
2016-05-28 13:00:00,30.1595153809,967.557739258,140.357971191,405.189880371,504.665802002,478.18850708,181.221466064
2016-05-28 14:00:00,30.7511291504,949.801025391,137.782119751,405.429656982,504.703765869,489.566925049,161.638442993
2016-05-28 15:00:00,30.9209899902,877.323242188,127.268165588,405.251983643,500.787902832,471.915161133,128.612823486
2016-05-28 16:00:00,30.8346252441,756.010498047,109.670028687,404.925537109,494.019195557,426.877075195,87.2207183838
2016-05-28 17:00:00,30.593170166,597.854431152,86.7272491455,400.057800293,483.901062012,364.721679688,30.9628543854
2016-05-28 18:00:00,29.2746887207,411.855163574,59.7454147339,396.909606934,472.002166748,258.423095703,0.597232222557
2016-05-28 19:00:00,26.8900146484,218.268630981,31.6629676819,390.308959961,453.139007568,155.88230896,-30.4272403717
2016-05-28 20:00:00,24.5498352051,45.6256637573,6.61864852905,382.559051514,434.051757812,55.1584854126,-48.8554725647
2016-05-28 21:00:00,23.2512817383,0.0,0.0,375.920135498,424.266265869,10.3236923218,-36.8119430542
2016-05-28 22:00:00,22.15625,0.0,0.0,370.185150146,417.712615967,8.21592521667,-30.3793067932
2016-05-28 23:00:00,21.1488037109,0.0,0.0,363.790649414,411.771881104,7.25265598297,-27.3895149231
2016-05-29 00:00:00,20.4629211426,0.0,0.0,359.194885254,407.10144043,7.01626777649,-25.4895896912
2016-05-29 01:00:00,19.9139099121,0.0,0.0,355.643829346,400.913146973,5.39335727692,-17.724855423
2016-05-29 02:00:00,19.4851379395,0.0,0.0,352.104492188,394.320251465,3.81352424622,-10.554895401
2016-05-29 03:00:00,18.6632995605,0.0,0.0,349.383087158,390.076690674,2.29198694229,-7.10228061676
2016-05-29 04:00:00,17.904083252,0.0,0.0,345.921081543,386.281921387,1.28361392021,-5.63638973236
2016-05-29 05:00:00,17.2765197754,0.0,0.0,342.437957764,382.947479248,0.538442611694,-5.32091379166
2016-05-29 06:00:00,17.6342773438,9.95166301727,1.44362974167,340.639526367,381.372406006,0.122182220221,-5.77707910538
2016-05-29 07:00:00,19.148651123,167.386322021,24.2817611694,340.051544189,407.84588623,62.579624176,6.40808105469
2016-05-29 08:00:00,20.7855224609,363.566864014,52.740524292,342.125183105,426.935974121,138.391098022,62.0376930237
2016-05-29 09:00:00,23.1502685547,559.557250977,81.1716842651,346.928497314,445.389953613,236.770782471,101.295089722
2016-05-29 10:00:00,25.1967163086,733.323486328,106.378944397,352.326080322,461.132751465,330.0,133.366409302
2016-05-29 11:00:00,26.9254455566,856.064025879,124.184204102,360.681182861,474.953338623,403.143829346,151.835601807
2016-05-29 12:00:00,27.6135864258,928.484436035,134.689804077,365.504241943,481.929443359,452.386291504,163.776824951
2016-05-29 13:00:00,28.1848449707,973.245666504,141.183044434,370.021179199,486.990600586,485.885681152,169.946426392
2016-05-29 14:00:00,28.5610656738,950.946166992,137.948181152,367.63772583,485.768676758,485.661895752,151.983917236
2016-05-29 15:00:00,28.7792358398,887.131713867,128.691055298,369.080352783,487.366912842,459.818572998,131.232574463
2016-05-29 16:00:00,28.6947631836,770.604003906,111.787055969,375.477325439,483.017913818,406.676086426,102.290756226
2016-05-29 17:00:00,28.4482116699,605.675720215,87.8618240356,377.504943848,471.50012207,338.365844727,52.1875267029
2016-05-29 18:00:00,27.3854064941,373.750640869,54.2178153992,388.510498047,461.292755127,228.431549072,3.33538031578
2016-05-29 19:00:00,25.6469421387,153.419448853,22.2556724548,394.963134766,444.854187012,111.066070557,-29.5159702301
2016-05-29 20:00:00,24.140625,29.4656715393,4.27441263199,399.854156494,434.003326416,44.704044342,-43.9143638611
2016-05-29 21:00:00,23.404296875,0.0,0.0,397.454833984,430.064605713,14.210442543,-37.5644378662
2016-05-29 22:00:00,22.6006774902,0.0,0.0,395.213775635,426.774078369,12.7923154831,-33.3800544739
2016-05-29 23:00:00,21.7855529785,0.0,0.0,392.074737549,423.136474609,8.43215370178,-26.5096473694
2016-05-30 00:00:00,21.0417175293,0.0,0.0,388.855010986,418.194519043,1.78899264336,-13.6802453995
2016-05-30 01:00:00,20.6870727539,0.0,0.0,386.518035889,416.234863281,0.796913504601,-14.9236936569
2016-05-30 02:00:00,20.5959472656,0.0,0.0,396.072387695,415.956573486,3.27422094345,-14.3779935837
2016-05-30 03:00:00,20.205657959,0.0,0.0,387.257019043,415.059967041,-3.76713609695,-12.6031751633
2016-05-30 04:00:00,19.9341430664,0.0,0.0,392.717041016,412.955688477,-2.21885752678,-1.49114739895
2016-05-30 05:00:00,19.3723754883,0.0,0.0,372.624328613,400.83996582,-4.93953514099,-2.33542609215
2016-05-30 06:00:00,19.8893127441,3.77587747574,0.547744512558,413.403961182,414.688201904,3.23382878304,-0.16268441081
2016-05-30 07:00:00,20.0589599609,17.9473838806,2.6035220623,416.045043945,421.941436768,11.3036680222,2.35842323303
2016-05-30 08:00:00,20.7342529297,174.289505005,25.283164978,411.925933838,424.322601318,80.0971450806,40.7260894775
2016-05-30 09:00:00,21.8247680664,196.063735962,28.441827774,408.464019775,432.87588501,98.8854064941,30.4548587799
2016-05-30 10:00:00,23.8228149414,655.635803223,95.1092453003,382.544189453,455.679138184,295.046081543,149.464355469
2016-05-30 11:00:00,25.2026977539,790.36138916,114.653121948,385.682098389,472.881408691,341.697814941,193.251846313
2016-05-30 12:00:00,24.1588134766,178.865280151,25.9469509125,419.607666016,464.206634521,140.600631714,-16.7676849365
2016-05-30 13:00:00,24.358795166,194.756271362,28.2521572113,420.587036133,467.861206055,154.71421814,-17.3130016327
2016-05-30 14:00:00,27.2788085938,952.765991211,138.212219238,388.901397705,483.447937012,487.892150879,176.152328491
2016-05-30 15:00:00,27.2076416016,866.987121582,125.768745422,391.237243652,488.978729248,399.93270874,190.857177734
2016-05-30 16:00:00,27.2413635254,727.285888672,105.503128052,393.412994385,484.030670166,340.572601318,144.575378418
2016-05-30 17:00:00,27.0026855469,566.626708984,82.197227478,395.627075195,480.179107666,265.106872559,100.102714539
2016-05-30 18:00:00,25.460357666,376.773223877,54.6562995911,393.039886475,463.328216553,178.518875122,56.6964263916
2016-05-30 19:00:00,22.1015319824,3.55809879303,0.516152560711,404.544952393,424.994262695,40.2404708862,-32.769657135
2016-05-30 20:00:00,21.8545532227,34.1621017456,4.95569515228,387.137512207,426.185150146,13.3109226227,-6.31829071045
2016-05-30 21:00:00,21.3209228516,0.0,0.0,384.143890381,414.374023438,-2.2702960968,-2.87114906311
2016-05-30 22:00:00,20.6977233887,0.0,0.0,377.048095703,410.565429688,-3.44605636597,-2.93396091461
2016-05-30 23:00:00,20.1227111816,0.0,0.0,368.611968994,402.61807251,-3.04196763039,-2.02731013298
2016-05-31 00:00:00,19.7662963867,0.0,0.0,366.820129395,401.571350098,-4.6499786377,-3.15731620789
2016-05-31 01:00:00,19.5308227539,0.0,0.0,366.066436768,400.236236572,-5.49268007278,-3.8591966629
2016-05-31 02:00:00,19.399597168,0.0,0.0,365.954833984,399.403808594,-6.2729883194,-4.62291288376
2016-05-31 03:00:00,18.9747619629,0.0,0.0,362.758361816,397.679534912,-7.60092544556,-5.03958320618
2016-05-31 04:00:00,18.4093322754,0.0,0.0,358.458679199,394.825378418,-8.61983776093,-5.00593137741
2016-05-31 05:00:00,17.8106079102,0.0,0.0,364.337677002,391.926696777,-8.35917758942,-4.39977550507
2016-05-31 06:00:00,18.3380126953,11.1127300262,1.61205935478,354.633270264,390.716644287,-6.92870569229,-4.60380363464
2016-05-31 07:00:00,19.7328796387,166.081588745,24.0924854279,356.677490234,413.869506836,62.925868988,11.901096344
2016-05-31 08:00:00,20.7655944824,358.206939697,51.9629898071,358.355682373,426.166931152,161.73739624,54.4016723633
2016-05-31 09:00:00,22.6664428711,549.578430176,79.7241287231,363.092590332,443.022003174,253.916748047,96.1704483032
2016-05-31 10:00:00,24.6039123535,721.213134766,104.622184753,368.709228516,461.750610352,319.910919189,146.966094971
2016-05-31 11:00:00,26.3082275391,858.291870117,124.507385254,374.252685547,476.918365479,391.40637207,176.559646606
2016-05-31 12:00:00,27.1167602539,949.909545898,137.797836304,376.359954834,485.288696289,445.756622314,192.080215454
2016-05-31 13:00:00,27.8314208984,989.25793457,143.505859375,377.442443848,489.940704346,478.525421143,190.905075073
2016-05-31 14:00:00,28.4555969238,972.803344727,141.118896484,378.408782959,491.053619385,487.514709473,172.041107178
2016-05-31 15:00:00,28.69921875,900.435180664,130.620864868,376.903808594,488.585510254,465.166564941,140.721176147
2016-05-31 16:00:00,28.818359375,777.842773438,112.837120056,375.518066406,482.953094482,419.64276123,95.3807754517
2016-05-31 17:00:00,28.7633361816,616.134521484,89.3790130615,373.79598999,473.558166504,356.830810547,39.6346282959
2016-05-31 18:00:00,27.073059082,427.088195801,61.9551849365,371.036499023,460.834350586,240.632232666,18.8486824036
2016-05-31 19:00:00,25.2006835938,229.903656006,33.3507881165,367.763000488,446.136535645,119.963653564,-2.65495491028
2016-05-31 20:00:00,23.1920776367,52.1802101135,7.56947946548,367.858642578,431.392486572,14.0561380386,-18.0131645203
2016-05-31 21:00:00,21.7877502441,0.0,0.0,362.197357178,416.855834961,-16.0884151459,-18.2338428497
2016-05-31 22:00:00,21.0134887695,0.0,0.0,358.323150635,406.010162354,-9.90741920471,-5.6005859375
2016-05-31 23:00:00,20.1500549316,0.0,0.0,353.357940674,399.457366943,-7.24904632568,-3.75882077217
2016-06-01 00:00:00,19.720703125,0.0,0.0,351.584869385,398.26651001,-11.0650501251,-5.95113420486
2016-06-01 01:00:00,19.2989501953,0.0,0.0,350.50302124,407.019378662,-22.4399452209,-17.1036148071
2016-06-01 02:00:00,18.9525146484,0.0,0.0,349.711029053,406.501281738,-21.7900371552,-18.9027919769
2016-06-01 03:00:00,18.8348693848,0.0,0.0,349.982025146,405.665863037,-23.9448051453,-17.0809383392
2016-06-01 04:00:00,18.6611633301,0.0,0.0,350.162841797,404.335906982,-24.7652740479,-14.7984485626
2016-06-01 05:00:00,18.3450622559,0.0,0.0,350.348632812,399.174316406,-18.217420578,-9.32250213623
