variable,,T2,T2,TSK,TSK
stat,,mean,std,mean,std
domain,time,,,,
d01,2016-05-25 06:00:00,287.2362365722656,1.5110009908676147,285.500732421875,1.1607173681259155
d01,2016-05-25 16:00:00,302.1185607910156,0.440617173910141,305.0225524902344,0.34534940123558044
d01,2016-05-26 06:00:00,286.8601989746094,1.528342843055725,286.5401916503906,1.30513596534729
d01,2016-05-26 16:00:00,303.8644714355469,0.612733006477356,306.8534240722656,0.4881781339645386
d01,2016-05-27 06:00:00,292.0005798339844,0.8791608214378357,291.4996337890625,0.700655996799469
d01,2016-05-27 16:00:00,304.02587890625,0.25023362040519714,307.9515380859375,0.2879338264465332
d01,2016-05-28 06:00:00,292.1157531738281,0.7581408619880676,291.90362548828125,0.7118136286735535
d01,2016-05-28 16:00:00,304.5852966308594,0.7305498123168945,307.7582702636719,0.7935731410980225
d01,2016-05-29 06:00:00,287.1259765625,0.6023778319358826,287.34381103515625,0.7762694954872131
d01,2016-05-29 16:00:00,302.9876403808594,0.4907861649990082,306.43310546875,0.5305013060569763
d01,2016-05-30 06:00:00,292.5993957519531,0.48441097140312195,292.8032531738281,0.6734117865562439
d01,2016-05-30 16:00:00,300.2221984863281,0.5396931171417236,303.7568359375,1.9323493242263794
d01,2016-05-31 06:00:00,292.1670227050781,0.34580379724502563,292.41619873046875,0.3990095853805542
d01,2016-05-31 16:00:00,302.3634948730469,0.813730776309967,306.49627685546875,1.9819470643997192
d01,2016-06-01 06:00:00,292.8927917480469,0.5281084775924683,292.9774475097656,0.6833258271217346
d01,2016-06-01 16:00:00,301.3543701171875,0.19247126579284668,304.54541015625,0.1933010071516037
d01,2016-06-02 06:00:00,291.4178161621094,0.08204969018697739,291.9727783203125,0.21655592322349548
d01,2016-06-02 16:00:00,300.984619140625,0.27909550070762634,305.7378845214844,0.3565428555011749
d01,2016-06-03 06:00:00,292.35003662109375,0.16112028062343597,292.866455078125,0.2698117196559906
d01,2016-06-03 16:00:00,302.0093994140625,0.29372718930244446,306.3277282714844,0.7463063597679138
d01,2016-06-04 06:00:00,292.6842956542969,0.16436003148555756,293.1747741699219,0.283376008272171
d01,2016-06-04 16:00:00,302.2953186035156,0.3147091269493103,306.8689270019531,0.4068410396575928
d01,2016-06-05 06:00:00,292.6103515625,0.2225678563117981,293.1748352050781,0.34835413098335266
d01,2016-06-05 16:00:00,302.5788269042969,0.7167602181434631,305.7893981933594,1.0966248512268066
d01,2016-06-06 06:00:00,292.787109375,0.5318867564201355,292.03131103515625,0.5423485636711121
d01,2016-06-06 16:00:00,302.9943542480469,0.4370478689670563,306.16259765625,0.3727932274341583
d01,2016-06-07 06:00:00,291.9601135253906,0.870563805103302,291.85205078125,0.9614429473876953
d01,2016-06-07 16:00:00,302.2421569824219,0.5010372400283813,304.876708984375,0.43581530451774597
d01,2016-06-08 06:00:00,285.1660461425781,0.47394508123397827,284.6121826171875,0.714012622833252
d01,2016-06-08 16:00:00,293.8289489746094,0.47135981917381287,296.9581604003906,0.4336685240268707
d01,2016-06-09 06:00:00,281.6643981933594,0.567782998085022,280.9743347167969,0.7033030986785889
d01,2016-06-09 16:00:00,297.205810546875,0.36583662033081055,300.4030456542969,0.3661454916000366
d01,2016-06-10 06:00:00,283.8848876953125,0.5394963622093201,282.9559020996094,0.7208975553512573
d01,2016-06-10 16:00:00,298.4806213378906,0.26196277141571045,302.44549560546875,0.3069995045661926
d01,2016-06-11 06:00:00,289.4486999511719,0.796451985836029,289.4441833496094,0.8754791021347046
d01,2016-06-11 16:00:00,307.7151184082031,0.4510115683078766,309.7947998046875,0.433631032705307
d01,2016-06-12 06:00:00,296.5622863769531,0.42348694801330566,295.6591491699219,0.4385286867618561
d01,2016-06-12 16:00:00,304.1560974121094,0.5256035923957825,306.4812927246094,0.5186835527420044
d01,2016-06-13 06:00:00,285.0700988769531,0.3773441016674042,284.49420166015625,0.4914456009864807
d01,2016-06-13 16:00:00,297.7092590332031,0.26812779903411865,302.3314514160156,0.26571086049079895
d01,2016-06-14 06:00:00,286.9701843261719,0.7220348119735718,286.5529479980469,1.008451223373413
d01,2016-06-14 16:00:00,297.8549499511719,0.3107246160507202,302.7002258300781,0.3307401239871979
d01,2016-06-15 06:00:00,287.54571533203125,1.4527653455734253,287.8958740234375,1.506752610206604
d01,2016-06-15 16:00:00,300.5211181640625,0.147551029920578,304.5833435058594,0.2924526035785675
d01,2016-06-16 06:00:00,292.0145568847656,0.20112700760364532,292.3289794921875,0.2697489559650421
d01,2016-06-16 16:00:00,300.943359375,0.2701150178909302,302.7636413574219,0.4569869935512543
d01,2016-06-17 06:00:00,291.6771240234375,0.1486508697271347,291.900634765625,0.1539842039346695
d01,2016-06-17 16:00:00,299.4015808105469,0.19662702083587646,302.9373474121094,0.24432983994483948
d01,2016-06-18 06:00:00,288.3042907714844,0.6961230635643005,288.5397644042969,0.8030939102172852
d01,2016-06-18 16:00:00,300.5226135253906,0.18592268228530884,304.9649353027344,0.2723926305770874
d01,2016-06-19 06:00:00,286.7847595214844,1.7155890464782715,286.46258544921875,1.4169620275497437
