variable,,T2,T2,TSK,TSK
stat,,mean,std,mean,std
domain,time,,,,
d01,2016-05-25 06:00:00,287.2388610839844,1.508155345916748,285.5025939941406,1.159598469734192
d01,2016-05-25 16:00:00,302.1172180175781,0.44150373339653015,305.013671875,0.3519724905490875
d01,2016-05-26 06:00:00,286.8818054199219,1.518891453742981,286.5350036621094,1.3047839403152466
d01,2016-05-26 16:00:00,303.9762268066406,0.5678636431694031,306.9181213378906,0.40907829999923706
d01,2016-05-27 06:00:00,292.6118469238281,0.6175515651702881,291.9765930175781,0.5602113604545593
d01,2016-05-27 16:00:00,304.1620178222656,0.2617764472961426,308.0614318847656,0.32268521189689636
d01,2016-05-28 06:00:00,291.949462890625,0.5656967163085938,291.8914794921875,0.6170910000801086
d01,2016-05-28 16:00:00,304.6981506347656,0.6751351952552795,307.8288269042969,0.7658722400665283
d01,2016-05-29 06:00:00,287.253662109375,0.8454694747924805,287.4161376953125,0.9272651076316833
d01,2016-05-29 16:00:00,303.3748779296875,0.42507126927375793,306.5758361816406,0.5775163173675537
d01,2016-05-30 06:00:00,293.8760986328125,0.4406011998653412,294.1442565917969,0.49210605025291443
d01,2016-05-30 16:00:00,301.5554504394531,0.3645513653755188,305.3428039550781,0.6570339202880859
d01,2016-05-31 06:00:00,293.61383056640625,0.3811119794845581,293.8994445800781,0.3753732442855835
d01,2016-05-31 16:00:00,302.959228515625,0.23430082201957703,306.2012939453125,0.9180348515510559
d01,2016-06-01 06:00:00,293.2117004394531,0.9190224409103394,293.1049499511719,1.1194825172424316
d01,2016-06-01 16:00:00,301.0198059082031,0.28881868720054626,303.5152893066406,0.8803182244300842
d01,2016-06-02 06:00:00,292.80255126953125,0.2452009916305542,293.1545715332031,0.2398252785205841
d01,2016-06-02 16:00:00,301.9222717285156,0.44731563329696655,306.4804992675781,0.46857351064682007
d01,2016-06-03 06:00:00,293.6714172363281,0.16770626604557037,294.0360107421875,0.2852989137172699
d01,2016-06-03 16:00:00,302.5204162597656,0.39844679832458496,306.8836975097656,0.8602027893066406
d01,2016-06-04 06:00:00,293.607177734375,0.35967251658439636,293.9976806640625,0.5932750105857849
d01,2016-06-04 16:00:00,303.9931945800781,0.4182089567184448,308.4299011230469,0.6210966110229492
d01,2016-06-05 06:00:00,295.6473083496094,0.1875433474779129,295.8802185058594,0.29413503408432007
d01,2016-06-05 16:00:00,303.5531921386719,0.37334391474723816,307.6102600097656,0.23785369098186493
d01,2016-06-06 06:00:00,293.2543029785156,0.5568513870239258,292.5173645019531,0.5602084398269653
d01,2016-06-06 16:00:00,303.0953369140625,0.384887158870697,306.2980651855469,0.30738309025764465
d01,2016-06-07 06:00:00,292.6533508300781,0.3014429211616516,292.137451171875,0.45807144045829773
d01,2016-06-07 16:00:00,302.23095703125,0.5065246820449829,304.8867492675781,0.3993683159351349
d01,2016-06-08 06:00:00,285.3360900878906,0.46554628014564514,284.8158874511719,0.694574236869812
d01,2016-06-08 16:00:00,293.7589111328125,0.46912941336631775,296.9984130859375,0.41299107670783997
d01,2016-06-09 06:00:00,281.453125,0.6179654598236084,280.8703918457031,0.7216293215751648
d01,2016-06-09 16:00:00,297.3006896972656,0.3527310788631439,300.5776062011719,0.3236098885536194
d01,2016-06-10 06:00:00,283.7873229980469,0.5676369667053223,282.9516296386719,0.7326902747154236
d01,2016-06-10 16:00:00,298.4633483886719,0.2703506350517273,302.4656982421875,0.2902529835700989
d01,2016-06-11 06:00:00,289.8234558105469,0.479642391204834,289.39739990234375,0.5144129991531372
d01,2016-06-11 16:00:00,307.6430969238281,0.47303736209869385,309.7687683105469,0.4185657799243927
d01,2016-06-12 06:00:00,296.5847473144531,0.43280643224716187,295.713134765625,0.4373171925544739
d01,2016-06-12 16:00:00,304.1022644042969,0.5184143781661987,306.5086364746094,0.46637940406799316
d01,2016-06-13 06:00:00,284.8809509277344,0.3965756595134735,284.3282470703125,0.5187047123908997
d01,2016-06-13 16:00:00,297.6167297363281,0.28445643186569214,302.3221435546875,0.2543281018733978
d01,2016-06-14 06:00:00,286.84075927734375,0.6040544509887695,286.4609069824219,0.8684741854667664
d01,2016-06-14 16:00:00,297.8005065917969,0.3146688640117645,302.6883850097656,0.30988696217536926
d01,2016-06-15 06:00:00,288.254150390625,1.549997329711914,288.6444396972656,1.6841621398925781
d01,2016-06-15 16:00:00,300.9538269042969,0.1197376474738121,305.1528015136719,0.23460356891155243
d01,2016-06-16 06:00:00,293.8845520019531,0.2932939827442169,294.2296142578125,0.40149691700935364
d01,2016-06-16 16:00:00,301.288330078125,0.7916133403778076,303.6052551269531,1.5682896375656128
d01,2016-06-17 06:00:00,290.0106201171875,0.32253551483154297,290.2928771972656,0.28530555963516235
d01,2016-06-17 16:00:00,299.2528991699219,0.2191704511642456,303.3606262207031,0.3076294958591461
d01,2016-06-18 06:00:00,287.4526672363281,0.6804659962654114,287.4165344238281,0.7991592884063721
d01,2016-06-18 16:00:00,300.3645935058594,0.15078753232955933,304.781005859375,0.3408234119415283
d01,2016-06-19 06:00:00,286.3364562988281,1.4638673067092896,286.11639404296875,1.2531708478927612
d01,2016-06-19 16:00:00,302.8592529296875,0.21324115991592407,306.7384948730469,0.27981919050216675
d01,2016-06-20 06:00:00,289.7865295410156,1.357938528060913,289.2655334472656,1.3969142436981201
d01,2016-06-20 16:00:00,304.9316711425781,0.15739580988883972,308.0708312988281,0.21833184361457825
d01,2016-06-21 06:00:00,295.5195007324219,0.2973758280277252,294.96533203125,0.39771416783332825
