Time,T2,SWDNB,SWUPB,LWDNB,LWUPB,LH,HFX
2016-05-26 20:00:00,26.1636352539,37.287940979,6.48208045959,390.1690979,451.632995605,41.4308929443,-20.6795825958
2016-05-26 21:00:00,23.5282287598,0.0,0.0,382.133178711,437.716888428,11.8126811981,-6.25529670715
2016-05-26 22:00:00,22.5797424316,0.0,0.0,410.758453369,435.935028076,9.38002204895,4.54363918304
2016-05-26 23:00:00,21.8111877441,0.0,0.0,408.237884521,432.360351562,6.26143074036,6.41070556641
2016-05-27 00:00:00,21.1411743164,0.0,0.0,407.386077881,429.308990479,2.45592689514,8.18039703369
2016-05-27 01:00:00,21.0555725098,0.0,0.0,406.662597656,427.584197998,1.94125282764,6.38134002686
2016-05-27 02:00:00,20.8366394043,0.0,0.0,405.712158203,426.297637939,2.04427909851,5.79630756378
2016-05-27 03:00:00,20.356628418,0.0,0.0,396.433502197,423.0831604,0.99082839489,3.93433475494
2016-05-27 04:00:00,19.1395263672,0.0,0.0,372.184265137,414.323425293,-1.19948625565,1.3631439209
2016-05-27 05:00:00,18.2528381348,0.0,0.0,368.674468994,409.566131592,-1.42435204983,2.2454559803
2016-05-27 06:00:00,18.095489502,7.42952203751,0.668656885624,367.05682373,407.079345703,-1.31150043011,2.02205824852
2016-05-27 07:00:00,20.526763916,158.736541748,27.5945148468,368.282806396,422.921630859,35.4938240051,15.2034320831
2016-05-27 08:00:00,22.179901123,350.192169189,60.8768806458,372.075012207,438.398254395,87.8854675293,55.456867218
2016-05-27 09:00:00,24.4548339844,540.66986084,93.9892120361,379.04675293,458.267059326,137.657897949,100.695388794
2016-05-27 10:00:00,26.8325500488,710.640380859,123.536689758,388.354644775,479.227203369,187.645263672,139.86605835
2016-05-27 11:00:00,28.8162536621,845.262634277,146.939193726,396.918670654,496.750701904,233.593154907,167.741470337
2016-05-27 12:00:00,29.6463012695,933.998779297,162.36491394,401.078186035,506.983764648,265.079956055,205.314117432
2016-05-27 13:00:00,30.7090454102,968.753356934,168.40663147,407.550292969,515.739196777,285.673034668,214.736557007
2016-05-27 14:00:00,31.1602478027,947.95111084,164.790420532,410.751922607,516.839477539,292.046051025,230.830932617
2016-05-27 15:00:00,26.7259216309,525.501342773,91.3523788452,438.281311035,462.378936768,192.343688965,153.445526123
2016-05-27 16:00:00,23.7074890137,39.3809432983,6.84592580795,427.606231689,446.005279541,42.3585319519,41.3837661743
2016-05-27 17:00:00,28.2946472168,589.184082031,102.422874451,397.82043457,482.568878174,194.695495605,101.455726624
2016-05-27 18:00:00,26.0491943359,401.595947266,69.8128433228,396.970825195,470.33505249,122.780143738,108.662330627
2016-05-27 19:00:00,27.0548095703,51.2199516296,8.90400028229,417.465209961,462.33895874,39.6420135498,5.36766815186
2016-05-27 20:00:00,26.6538391113,13.2030696869,2.29520177841,416.898742676,456.809326172,18.7027187347,-5.28246307373
2016-05-27 21:00:00,22.8789978027,0.0,0.0,390.592681885,441.472320557,2.01767110825,8.1219701767
2016-05-27 22:00:00,22.5215148926,0.0,0.0,386.774475098,434.46762085,2.79672694206,3.48211479187
2016-05-27 23:00:00,20.9186706543,0.0,0.0,381.840270996,427.826049805,0.842181861401,6.40979242325
2016-05-28 00:00:00,21.5012207031,0.0,0.0,382.938476562,426.683105469,1.40637218952,0.301864624023
2016-05-28 01:00:00,21.0116577148,0.0,0.0,381.011260986,424.234405518,0.998329281807,-0.299419403076
2016-05-28 02:00:00,20.1658935547,0.0,0.0,377.758758545,419.933624268,0.146231293678,0.982892036438
2016-05-28 03:00:00,19.7098083496,0.0,0.0,375.674530029,416.636138916,-0.528484225273,0.531340122223
2016-05-28 04:00:00,19.427154541,0.0,0.0,374.797821045,415.51751709,-0.711262464523,0.0587508678436
2016-05-28 05:00:00,18.8053283691,0.0,0.0,372.706359863,412.004852295,-0.821243405342,0.612372398376
2016-05-28 06:00:00,18.4575805664,8.18522071838,0.736669838428,370.446258545,408.821014404,-0.329296380281,1.44360947609
2016-05-28 07:00:00,21.0559997559,159.798553467,27.7791442871,372.017974854,425.015716553,37.4307441711,14.0016889572
2016-05-28 08:00:00,23.0670471191,350.656158447,60.9575386047,377.896728516,441.992889404,94.3937225342,50.1053009033
2016-05-28 09:00:00,25.0191955566,540.944030762,94.0369033813,383.395294189,459.848999023,150.479324341,94.2503509521
2016-05-28 10:00:00,27.1724243164,712.008544922,123.774490356,389.71081543,479.105621338,202.61946106,133.791183472
2016-05-28 11:00:00,28.9663696289,847.728393555,147.367919922,395.751434326,495.306640625,246.75894165,167.509796143
2016-05-28 12:00:00,30.4786071777,937.040466309,162.893707275,402.076721191,508.470367432,281.770996094,191.796966553
2016-05-28 13:00:00,31.141204834,973.284973145,169.194488525,406.51361084,516.042663574,298.675292969,207.51348877
2016-05-28 14:00:00,32.3426513672,954.378662109,165.907745361,407.432891846,517.653320312,313.918640137,188.770950317
2016-05-28 15:00:00,31.923828125,877.227600098,152.495986938,413.218414307,518.471862793,297.37802124,201.93371582
2016-05-28 16:00:00,31.3262634277,754.70892334,131.197479248,408.585784912,507.965789795,271.351348877,166.527023315
2016-05-28 17:00:00,30.540802002,593.952819824,103.251876831,404.82144165,497.606292725,230.530166626,124.821510315
2016-05-28 18:00:00,29.1800842285,408.370574951,70.9905090332,396.880218506,483.171966553,178.880844116,71.9901657104
2016-05-28 19:00:00,27.5772705078,214.625991821,37.3102645874,390.051971436,468.018737793,118.026000977,22.1309165955
2016-05-28 20:00:00,25.3911437988,42.2580871582,7.34608459473,380.893157959,450.449523926,48.4456825256,-5.81589126587
2016-05-28 21:00:00,24.1977539062,0.0,0.0,370.034118652,441.918487549,7.95103168488,-4.60222816467
2016-05-28 22:00:00,21.7261047363,0.0,0.0,363.395385742,431.141937256,2.69975662231,4.35778427124
2016-05-28 23:00:00,20.2154541016,0.0,0.0,360.563659668,422.573455811,1.3399708271,6.18947982788
2016-05-29 00:00:00,19.5769042969,0.0,0.0,357.137084961,417.711364746,1.76943945885,4.78661632538
2016-05-29 01:00:00,18.6754760742,0.0,0.0,355.30065918,413.467498779,1.32844376564,5.18431901932
2016-05-29 02:00:00,17.882232666,0.0,0.0,352.573699951,408.561859131,0.843741357327,4.90406847
2016-05-29 03:00:00,17.4171447754,0.0,0.0,350.719696045,405.021392822,0.30850726366,3.32305645943
2016-05-29 04:00:00,15.9075012207,0.0,0.0,344.080566406,398.745056152,0.193695187569,6.76136875153
2016-05-29 05:00:00,15.3148803711,0.0,0.0,341.32723999,394.64465332,-0.179426953197,5.63754844666
2016-05-29 06:00:00,14.988494873,9.45744609833,0.851170301437,338.610229492,391.091430664,-0.192962229252,6.15673065186
2016-05-29 07:00:00,17.805847168,167.444519043,29.1083068848,339.165435791,408.291168213,33.0788879395,21.4623432159
