variable,,T2,T2,SWDNB,SWDNB,SWUPB,SWUPB,LWDNB,LWDNB,LWUPB,LWUPB,LH,LH,HFX,HFX,GRDFLX,GRDFLX,CLDFRA,CLDFRA,QVAPOR,QVAPOR
stat,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
domain,time,,,,,,,,,,,,,,,,,,,,
d01,2016-05-25 06:00:00,287.2388610839844,1.508155345916748,6.587669372558594,0.5865252017974854,0.592890202999115,0.052787259221076965,311.9033203125,3.036458730697632,374.9413146972656,6.2669878005981445,0.35878002643585205,2.90718150138855,-30.5083065032959,11.019594192504883,18.57281494140625,3.985278367996216,0.0,0.0,0.007928862236440182,0.00019057806639466435
d01,2016-05-25 16:00:00,302.1172180175781,0.44150373339653015,760.8339233398438,4.2951741218566895,135.5854949951172,4.446783065795898,364.4524841308594,4.292507648468018,488.8929138183594,2.2543039321899414,261.066650390625,4.207699298858643,120.96847534179688,7.809508800506592,-66.87552642822266,12.403986930847168,0.0,0.0,0.008483201265335083,0.0001104582188418135
d01,2016-05-26 06:00:00,286.8818054199219,1.518891453742981,7.031723499298096,0.7681513428688049,0.6328551173210144,0.06913361698389053,330.9091796875,6.651607036590576,380.2319641113281,7.130712032318115,-1.6883779764175415,0.4181126654148102,-4.271692752838135,4.02235746383667,35.053836822509766,9.07454776763916,0.1111111119389534,0.31426966190338135,0.009042260237038136,0.0002564314636401832
d01,2016-05-26 16:00:00,303.9762268066406,0.5678636431694031,759.74951171875,1.5876133441925049,135.40771484375,4.848671913146973,392.1979064941406,2.86474347114563,501.9117126464844,2.7525010108947754,260.4298095703125,11.394351959228516,133.14100646972656,11.954300880432129,-70.32998657226562,16.16252326965332,0.0,0.0,0.011363829486072063,0.0009318257216364145
d01,2016-05-27 06:00:00,292.6118469238281,0.6175515651702881,7.5696234703063965,0.5134844183921814,0.6812660694122314,0.04621362313628197,369.0706481933594,1.9354113340377808,410.8658447265625,3.4880449771881104,0.22076313197612762,1.3401637077331543,-8.288432121276855,3.8417012691497803,26.568300247192383,7.729428291320801,0.0,0.0,0.011960532516241074,0.00017206065240316093
d01,2016-05-27 16:00:00,304.1620178222656,0.2617764472961426,740.8844604492188,20.496631622314453,132.10723876953125,7.098799705505371,414.7812194824219,3.829221487045288,509.6548767089844,2.6523020267486572,241.01116943359375,7.726572513580322,156.325927734375,10.224534034729004,-54.515533447265625,9.812775611877441,0.0,0.0,0.014575398527085781,0.00024182500783354044
d01,2016-05-28 06:00:00,291.949462890625,0.5656967163085938,8.20801830291748,0.5701100826263428,0.7387216091156006,0.05130985751748085,369.707763671875,1.2849477529525757,409.8434143066406,3.5844650268554688,-0.36808332800865173,0.7971391081809998,-0.7173792719841003,4.0456862449646,33.60354995727539,8.614688873291016,0.0,0.0,0.01212774682790041,0.00037170134601183236
d01,2016-05-28 16:00:00,304.6981506347656,0.6751351952552795,758.052978515625,1.531739354133606,135.1043243408203,4.808382511138916,403.7364501953125,3.1065359115600586,508.6646423339844,4.938878536224365,270.1877746582031,4.652349472045898,157.7598114013672,13.960932731628418,-37.4088134765625,14.182327270507812,0.0,0.0,0.0120161147788167,0.00041268387576565146
d01,2016-05-29 06:00:00,287.253662109375,0.8454694747924805,9.639962196350098,0.6089016795158386,0.8675966262817383,0.05480121448636055,328.8482971191406,2.426809310913086,384.364990234375,5.1433424949646,-1.1193193197250366,0.5688979625701904,2.0002071857452393,4.216204643249512,50.5610466003418,9.460611343383789,0.0,0.0,0.00974110048264265,0.00021874405501876026
d01,2016-05-29 16:00:00,303.3748779296875,0.42507126927375793,711.8274536132812,101.2442855834961,126.7701416015625,18.21783447265625,401.6504211425781,13.583453178405762,501.2780456542969,2.790877103805542,244.5961456298828,25.560609817504883,156.34864807128906,23.090089797973633,-34.4168701171875,22.921903610229492,0.0,0.0,0.011988070793449879,0.0005841022357344627
d01,2016-05-30 06:00:00,293.8760986328125,0.4406011998653412,6.465005397796631,1.3512225151062012,0.5818505883216858,0.12161005288362503,407.7091979980469,14.667048454284668,423.2879333496094,3.567047357559204,0.05462058261036873,2.9477367401123047,4.217225551605225,2.8665242195129395,19.329742431640625,10.05856990814209,0.1111111119389534,0.31426966190338135,0.015136233530938625,3.322761403978802e-05
d01,2016-05-30 16:00:00,301.5554504394531,0.3645513653755188,675.8942260742188,49.49799728393555,120.55623626708984,10.796292304992676,408.6643981933594,8.915968894958496,491.6985778808594,4.48666524887085,206.5214080810547,7.826574802398682,162.28880310058594,17.997602462768555,-50.8790283203125,19.188583374023438,0.0,0.0,0.015431690029799938,0.0003055061970371753
d01,2016-05-31 06:00:00,293.61383056640625,0.3811119794845581,5.8606719970703125,1.612733006477356,0.527460515499115,0.1451459676027298,410.328857421875,5.824654579162598,422.6837463378906,2.227459669113159,0.06365509331226349,0.6806319355964661,6.64402961730957,4.362238883972168,18.864974975585938,8.416452407836914,0.6666666865348816,0.4714045226573944,0.014981483109295368,0.00024639000184834003
d01,2016-05-31 16:00:00,302.959228515625,0.23430082201957703,621.279541015625,135.6083526611328,110.93817138671875,25.155582427978516,418.6885070800781,20.772842407226562,497.7700500488281,6.409452438354492,217.14332580566406,30.179323196411133,125.77215576171875,34.55751037597656,-30.984689712524414,15.998878479003906,0.0,0.0,0.012481619603931904,0.0011302808998152614
