sensornumber,0
82.0,87.33069915345757
139.0,681.9767493952779
130.0,6659.56009608841
32.0,0.0
10.0,0.0
129.0,107.44762926643416
105.0,161.82352087717823
80.0,625.2121371604267
34.0,0.0
71.0,514.8121000404391
35.0,240.27874418294965
106.0,0.0
91.0,70.55562873702893
131.0,1.7976931348623157e+308
19.0,0.0
42.0,0.0
27.0,0.0
5.0,0.0
88.0,3.3338080875306106
72.0,58.35030932877599
70.0,94.02488184105465
40.0,0.0
132.0,0.0
48.0,157.9480071705403
143.0,1.7976931348623157e+308
120.0,1.7976931348623157e+308
33.0,187.05517550765506
54.0,0.0
102.0,161.92665203609542
124.0,489.8018289574483
127.0,625.4393162182876
64.0,923.5375826928944
79.0,191.54260752328966
13.0,0.0
69.0,344.98390520196733
28.0,0.0
83.0,1993.377541516454
60.0,171.66833199778324
68.0,12659.443542528887
74.0,298.1499978112591
47.0,501.81703601570075
63.0,1317.3711655291968
94.0,2960.778458152885
20.0,0.0
16.0,0.0
98.0,413.5944901733802
107.0,38.72131357448887
9.0,0.0
86.0,281.6125862686141
4.0,0.0
53.0,11.363645914285502
43.0,740.8745276587726
17.0,683.2336626084284
97.0,0.0
66.0,265.7493135681922
122.0,0.0
109.0,1.7976931348623157e+308
99.0,215.4287092062723
128.0,546.440893168723
3.0,0.0
73.0,1029.9572737323779
41.0,226.62880467156032
103.0,5352.952974583937
123.0,590.0921030905045
50.0,0.9230167684703002
108.0,243.40852896258122
12.0,0.0
100.0,391.8481452216831
137.0,0.0
77.0,18.042666462128263
136.0,1.7976931348623157e+308
22.0,45.54603672695352
90.0,0.0
31.0,0.0
92.0,288.29284032615766
2.0,0.0
110.0,0.0
11.0,0.0
141.0,0.0
126.0,168.0024251616593
78.0,392.9448434889678
62.0,32.49843286934538
24.0,0.0
75.0,8493.707509809254
65.0,554.8176739923687
85.0,130.1635393703676
29.0,0.0
144.0,0.0
21.0,193.90207085414426
134.0,0.0
44.0,30.475764199649653
