variable,,T2,T2,SWDNB,SWDNB,SWUPB,SWUPB,LWDNB,LWDNB,LWUPB,LWUPB,LH,LH,HFX,HFX,GRDFLX,GRDFLX,CLDFRA,CLDFRA,QVAPOR,QVAPOR
stat,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
domain,time,,,,,,,,,,,,,,,,,,,,
d01,2016-05-25 06:00:00,287.7652893066406,0.3123176395893097,7.432598114013672,0.6316197514533997,1.3526954650878906,0.2775619626045227,305.8579406738281,1.007307529449463,362.5163269042969,4.0133562088012695,-0.854452908039093,2.6924326419830322,-27.7624568939209,8.9308443069458,22.8303279876709,2.4997076988220215,0.0,0.0,0.0074746874161064625,0.00011127290781587362
d01,2016-05-25 16:00:00,300.1569519042969,0.34908998012542725,766.8184204101562,11.608648300170898,139.9145050048828,27.14772605895996,350.601318359375,5.290022850036621,464.8392639160156,3.240222930908203,404.860107421875,7.012588024139404,55.96759033203125,17.528499603271484,-52.79680252075195,2.379023790359497,0.0,0.0,0.008377574384212494,0.0003263427352067083
d01,2016-05-26 06:00:00,291.1903381347656,0.6089829802513123,7.071295261383057,1.4294987916946411,1.2632379531860352,0.28313663601875305,352.6532287597656,22.45927619934082,380.0087890625,8.149251937866211,3.8045578002929688,4.963480472564697,-17.702850341796875,7.799086570739746,11.599154472351074,10.574020385742188,0.0,0.0,0.008570057339966297,8.005368727026507e-05
d01,2016-05-26 16:00:00,302.6954650878906,0.3882763981819153,765.3037719726562,4.272794723510742,139.25143432617188,25.770404815673828,380.475341796875,4.504601955413818,477.0269470214844,8.724284172058105,416.6665954589844,15.533783912658691,49.852481842041016,24.63457679748535,-60.88507080078125,5.904672622680664,0.0,0.0,0.010725258849561214,0.0008243588381446898
d01,2016-05-27 06:00:00,291.5969543457031,0.3220921456813812,8.319926261901855,0.5648331642150879,1.5111007690429688,0.29977867007255554,361.0000915527344,1.21145761013031,399.0930480957031,2.1888649463653564,-2.6458828449249268,1.6148114204406738,-16.54378318786621,5.730248928070068,13.01266860961914,2.5533061027526855,0.0,0.0,0.012376266531646252,0.00022084951342549175
d01,2016-05-27 16:00:00,302.8080139160156,0.2578728199005127,752.583740234375,4.104484558105469,136.77476501464844,25.28653907775879,406.1456298828125,2.9360358715057373,488.9821472167969,2.4893929958343506,398.2950744628906,20.78011131286621,87.5855484008789,8.872518539428711,-47.969966888427734,2.452206611633301,0.0,0.0,0.014875327236950397,0.00048496294766664505
d01,2016-05-28 06:00:00,292.2962341308594,0.2134123146533966,8.983957290649414,0.5940529704093933,1.6295992136001587,0.32062825560569763,367.4471740722656,1.5736274719238281,404.7874755859375,2.3341801166534424,-7.861547946929932,4.041448593139648,-9.221881866455078,1.6591434478759766,14.525688171386719,1.331982970237732,0.0,0.0,0.013742427341639996,0.00046808741171844304
d01,2016-05-28 16:00:00,303.8455505371094,0.4378252327442169,759.274658203125,2.220597505569458,137.76902770996094,25.136730194091797,401.7327575683594,1.2700881958007812,491.26708984375,3.9443166255950928,418.9622802734375,12.093635559082031,69.96392059326172,17.297317504882812,-44.655029296875,2.7612130641937256,0.0,0.0,0.012829295359551907,0.0003876360133290291
d01,2016-05-29 06:00:00,290.0376892089844,0.24389760196208954,10.340058326721191,0.635724663734436,1.8726876974105835,0.36123064160346985,336.0807189941406,0.3563103973865509,384.3784484863281,3.667802333831787,0.4906270503997803,0.8915522694587708,-12.965862274169922,7.39365816116333,29.185501098632812,2.9510250091552734,0.0,0.0,0.01017699483782053,0.000314351316774264
d01,2016-05-29 16:00:00,302.5052185058594,0.2944231927394867,766.9456176757812,2.488018274307251,139.00367736816406,25.39559555053711,381.3554382324219,2.934847593307495,482.8672180175781,2.155712127685547,411.6535949707031,15.813051223754883,71.21142578125,27.19768524169922,-45.175106048583984,1.3929904699325562,0.0,0.0,0.010757237672805786,0.0006571220583282411
d01,2016-05-30 06:00:00,293.3658447265625,0.3114035427570343,6.789645671844482,1.0570716857910156,1.2244958877563477,0.30001333355903625,409.0322265625,6.6933512687683105,417.8830261230469,2.607321262359619,0.08185084909200668,2.7525463104248047,-0.8985795974731445,1.6750818490982056,3.8480587005615234,0.9597461223602295,0.8888888955116272,0.31426966190338135,0.015044432133436203,0.00020692562975455076
d01,2016-05-30 16:00:00,300.4447326660156,0.7457748651504517,669.078369140625,95.87825012207031,122.39779663085938,32.16834259033203,403.2099609375,11.158281326293945,477.1439514160156,7.380063056945801,344.3471984863281,34.58366012573242,82.98961639404297,25.19370460510254,-37.1356086730957,10.436848640441895,0.0,0.0,0.015268233604729176,0.0011657234281301498
d01,2016-05-31 06:00:00,291.73828125,0.24814654886722565,10.046236991882324,1.9127323627471924,1.8304443359375,0.5312961935997009,372.8028564453125,16.14141845703125,406.6788024902344,2.7896029949188232,-5.312588214874268,5.9506659507751465,-7.58015251159668,5.337474346160889,13.728781700134277,2.2787270545959473,0.3333333432674408,0.4714045226573944,0.013554434292018414,0.0001854642032412812
d01,2016-05-31 16:00:00,301.5502014160156,0.46663960814476013,760.470458984375,6.438526153564453,137.59519958496094,25.622177124023438,375.0116271972656,2.3796725273132324,479.227294921875,3.553644895553589,400.131591796875,10.291921615600586,80.4079818725586,14.464424133300781,-39.698814392089844,1.8563936948776245,0.0,0.0,0.0107632577419281,8.492197230225429e-05
