,T2,SWDNB,SWUPB,LWDNB,LWUPB,LH,HFX,GRDFLX
2016-05-26 16:00:00,302.260864258,966.340515137,197.233459473,371.283447266,483.294036865,461.156616211,108.170013428,-88.1862716675
2016-05-26 17:00:00,302.557739258,1000.82189941,204.271224976,370.151184082,484.737792969,491.347961426,109.847869873,-81.1540145874
2016-05-26 18:00:00,302.822967529,973.530212402,198.700866699,373.508605957,486.999542236,475.004272461,110.897644043,-75.9476165771
2016-05-26 19:00:00,302.811645508,891.851074219,182.029937744,375.166534424,484.257720947,449.042022705,88.1193237305,-64.4238128662
2016-05-26 20:00:00,302.635681152,764.377380371,156.012054443,373.800689697,478.914764404,399.600524902,53.5396728516,-51.2351455688
2016-05-26 21:00:00,302.053192139,591.944396973,120.817893982,372.701385498,470.388977051,327.493560791,12.4079179764,-35.1120567322
2016-05-26 22:00:00,301.082641602,399.361602783,81.5110855103,369.922607422,459.986450195,230.029724121,-19.4960842133,-18.9542713165
2016-05-26 23:00:00,299.300170898,196.401367188,40.0861930847,376.664825439,451.672607422,101.862121582,-21.4760131836,-4.4072508812
2016-05-27 00:00:00,296.150878906,26.7672767639,5.46329450607,355.014282227,427.282684326,26.2673664093,-47.5263023376,26.6906013489
2016-05-27 01:00:00,294.217803955,0.0,0.0,354.174163818,416.822723389,7.75711536407,-35.6421966553,33.7588577271
2016-05-27 02:00:00,293.578735352,0.0,0.0,355.724365234,413.170776367,9.287733078,-33.7690429688,32.4798278809
2016-05-27 03:00:00,293.18145752,0.0,0.0,360.709533691,411.498077393,10.2490139008,-31.5080776215,29.269197464
2016-05-27 04:00:00,292.757202148,0.0,0.0,361.793945312,409.618530273,8.3941526413,-28.8023147583,27.0990562439
2016-05-27 05:00:00,292.611633301,0.0,0.0,360.450073242,408.388946533,8.36012268066,-32.4936561584,23.717748642
2016-05-27 06:00:00,292.394470215,0.0,0.0,357.058563232,406.732849121,9.15372467041,-36.0556793213,22.3337860107
2016-05-27 07:00:00,292.088775635,0.0,0.0,354.078399658,404.604278564,9.38228321075,-37.9698295593,21.4848041534
2016-05-27 08:00:00,291.513458252,0.0,0.0,354.431152344,401.948638916,8.68308639526,-33.8381080627,21.9331569672
2016-05-27 09:00:00,291.140533447,0.0,0.0,354.659301758,399.885467529,8.45061016083,-31.9507293701,21.3823165894
2016-05-27 10:00:00,290.93838501,10.484161377,2.13985347748,353.530609131,398.20211792,14.6541099548,-31.7118988037,19.5141487122
2016-05-27 11:00:00,292.887329102,169.449584961,34.5852584839,355.843383789,410.413024902,78.0400314331,-6.95485210419,-6.39031505585
