,T2,SWDNB,SWUPB,LWDNB,LWUPB,LH,HFX,GRDFLX
2016-05-25 13:00:00,301.602905273,997.133239746,142.297241211,359.133209229,488.981658936,482.195709229,169.789810181,-73.2518157959
2016-05-25 14:00:00,302.149139404,980.47064209,139.919387817,364.442169189,492.712646484,481.888000488,162.217437744,-69.4470825195
2016-05-25 15:00:00,302.496795654,894.493103027,127.64982605,367.187225342,490.532653809,458.633117676,127.876556396,-59.9680519104
2016-05-25 16:00:00,302.730010986,764.370910645,109.080551147,366.796875,483.214233398,414.258422852,76.1247253418,-49.9731445312
2016-05-25 17:00:00,302.969970703,603.133056641,86.0709228516,363.766357422,478.871246338,333.894500732,28.4467582703,-41.8417549133
2016-05-25 18:00:00,302.327911377,408.760681152,58.3327407837,368.001495361,467.362091064,234.434387207,-9.05957603455,-28.015253067
2016-05-25 19:00:00,298.852539062,209.309677124,29.8698139191,360.340515137,444.132537842,126.774246216,-31.0552024841,-3.28511142731
2016-05-25 20:00:00,295.655059814,34.1165542603,4.86864948273,354.464813232,421.185791016,10.4991817474,-20.8651027679,21.1133365631
2016-05-25 21:00:00,294.244171143,0.0,0.0,343.329833984,397.110931396,-2.16145253181,-11.4209728241,37.9856452942
2016-05-25 22:00:00,292.836791992,0.0,0.0,340.967315674,390.777862549,-1.20921242237,-8.87811660767,38.8169822693
2016-05-25 23:00:00,291.344360352,0.0,0.0,337.271362305,390.713684082,-2.09877681732,-16.413236618,34.2801513672
2016-05-26 00:00:00,290.520477295,0.0,0.0,334.499633789,389.249084473,-6.78939723969,-14.360162735,32.4526519775
2016-05-26 01:00:00,290.847442627,0.0,0.0,332.850067139,383.179138184,-6.07403182983,-9.10233211517,34.5000915527
2016-05-26 02:00:00,290.081237793,0.0,0.0,331.019592285,378.637237549,-4.91898012161,-5.97254800797,35.8215522766
2016-05-26 03:00:00,290.312438965,0.0,0.0,332.303833008,377.68939209,-5.21613073349,-7.19790315628,32.5510025024
2016-05-26 04:00:00,290.632965088,0.0,0.0,333.462799072,378.093078613,-5.65433502197,-9.37121105194,28.9735107422
2016-05-26 05:00:00,290.53213501,0.0,0.0,332.737335205,376.898010254,-5.44760227203,-9.61661052704,27.8729515076
2016-05-26 06:00:00,290.316955566,4.23471641541,0.604320824146,332.70614624,374.575134277,-4.15093135834,-8.828789711,25.714220047
2016-05-26 07:00:00,291.640594482,158.217681885,22.578660965,335.134246826,402.500549316,55.645866394,0.530269145966,-8.86629962921
2016-05-26 08:00:00,294.709960938,352.970458984,50.3711204529,343.146820068,427.492034912,130.494827271,47.9934768677,-35.0707015991
2016-05-26 09:00:00,298.122070312,542.174682617,77.3717727661,356.542449951,452.594543457,232.61541748,77.8540344238,-54.7912101746
2016-05-26 10:00:00,300.088531494,717.30480957,102.363929749,365.280731201,471.037872314,329.106414795,113.296440125,-65.3032989502
2016-05-26 11:00:00,299.671325684,562.630554199,80.2909240723,405.677001953,448.347320557,277.846343994,85.4393768311,-55.1790809631
2016-05-26 12:00:00,302.471801758,940.003417969,134.144454956,375.704284668,495.920013428,439.446289062,170.103881836,-76.3148422241
2016-05-26 13:00:00,304.23425293,978.081359863,139.578369141,383.374816895,502.713806152,495.151092529,150.322753906,-74.6298675537
2016-05-26 14:00:00,304.546264648,964.218322754,137.600036621,383.896209717,481.582763672,496.52243042,143.548904419,-68.7672042847
2016-05-26 15:00:00,304.938201904,887.924316406,126.712394714,384.909973145,500.34967041,478.02041626,107.409103394,-61.5602493286
2016-05-26 16:00:00,301.926177979,91.8073883057,13.1014947891,435.543914795,455.93951416,93.3075332642,-41.8532066345,-10.3683586121
2016-05-26 17:00:00,304.438110352,592.307067871,84.5259628296,396.531219482,461.520629883,347.997497559,27.5711803436,-42.7653961182
2016-05-26 18:00:00,302.684448242,323.288696289,46.135345459,404.460357666,463.144378662,207.932174683,-17.7476272583,-23.3653850555
2016-05-26 19:00:00,300.363922119,133.68951416,19.0783405304,407.124847412,454.369567871,100.851325989,-34.1966514587,-5.13112163544
2016-05-26 20:00:00,297.966796875,24.8393306732,3.54472899437,398.014160156,435.750610352,50.6273765564,-56.8944702148,8.73299312592
