,T2,SWDNB,SWUPB,LWDNB,LWUPB,LH,HFX,GRDFLX
2016-05-27 17:00:00,301.7081604,985.886474609,199.691818237,383.99118042,480.769195557,463.397766113,142.642944336,-83.1750640869
2016-05-27 18:00:00,302.169708252,959.237243652,194.293945312,389.198852539,486.009033203,441.098083496,146.472930908,-80.8360290527
2016-05-27 19:00:00,301.732116699,876.975585938,177.631851196,392.41885376,483.457122803,424.913818359,126.862602234,-60.3787269592
2016-05-27 20:00:00,300.68637085,748.831481934,151.676223755,385.836242676,470.448364258,387.055145264,90.0129776001,-37.0879440308
2016-05-27 21:00:00,299.179443359,582.996337891,118.086212158,376.931549072,459.007843018,316.102203369,54.6813278198,-14.5997333527
2016-05-27 22:00:00,297.70715332,391.566009521,79.3118972778,371.338684082,445.979949951,229.640396118,15.7162361145,5.47326803207
2016-05-27 23:00:00,295.454559326,194.790222168,39.454864502,363.91104126,430.740966797,127.082489014,-7.37564229965,28.3775310516
2016-05-28 00:00:00,293.309661865,25.3960399628,5.14398145676,358.417449951,414.973602295,39.1640472412,-26.562166214,46.9752197266
2016-05-28 01:00:00,292.148406982,0.0,0.0,355.210357666,408.180969238,14.8903656006,-20.7201595306,46.5288963318
2016-05-28 02:00:00,291.738464355,0.0,0.0,355.565734863,405.365356445,13.5601644516,-21.6366500854,41.4466819763
2016-05-28 03:00:00,291.564575195,0.0,0.0,357.344055176,403.825256348,13.6484231949,-24.2407417297,35.7288703918
2016-05-28 04:00:00,292.742523193,0.0,0.0,408.65335083,414.115692139,21.3776626587,-13.2277317047,13.6447305679
2016-05-28 05:00:00,291.847167969,0.0,0.0,360.174743652,410.155914307,14.5114555359,-32.2251853943,25.9316616058
2016-05-28 06:00:00,291.275024414,0.0,0.0,356.429229736,401.2862854,11.7670621872,-29.0539360046,26.7031612396
2016-05-28 07:00:00,291.158172607,0.0,0.0,356.41015625,399.461761475,12.4681415558,-32.0216140747,23.3693027496
2016-05-28 08:00:00,292.18081665,0.0,0.0,406.537689209,409.851013184,21.1045837402,-20.0645027161,4.1893324852
