,T2,SWDNB,SWUPB,LWDNB,LWUPB,LH,HFX,GRDFLX
2016-05-26 14:00:00,300.451721191,961.987121582,115.438438416,366.722961426,495.161102295,376.826904297,277.947296143,-68.6994781494
2016-05-26 15:00:00,299.367279053,874.360168457,104.923217773,361.525299072,482.714355469,350.022155762,258.445068359,-43.3318023682
2016-05-26 16:00:00,298.33996582,746.988891602,89.6386795044,353.473022461,472.20135498,302.129119873,216.429046631,-23.4866695404
2016-05-26 17:00:00,297.358001709,578.439880371,69.4127960205,353.509216309,459.143951416,244.026306152,157.95765686,-3.79353165627
2016-05-26 18:00:00,296.580322266,386.201080322,46.3441123962,353.977844238,447.536895752,178.445098877,83.6938934326,13.0256471634
2016-05-26 19:00:00,295.0859375,186.617019653,22.3940410614,353.71875,432.368652344,105.047988892,19.0287284851,34.6754150391
2016-05-26 20:00:00,292.422790527,22.9653377533,2.75584030151,347.420562744,412.65826416,23.6750392914,-9.00495243073,56.9584465027
2016-05-26 21:00:00,290.52947998,0.0,0.0,340.726928711,401.649200439,4.17817592621,-3.62870931625,60.0324325562
2016-05-26 22:00:00,289.111541748,0.0,0.0,335.848388672,393.819824219,2.37405443192,-0.614029288292,58.9126434326
2016-05-26 23:00:00,288.823822021,0.0,0.0,333.755767822,390.386749268,1.32012152672,-6.50471639633,51.104057312
2016-05-27 00:00:00,289.250213623,0.0,0.0,335.126342773,389.876617432,0.784809112549,-13.5946855545,41.4179267883
2016-05-27 01:00:00,289.549987793,0.0,0.0,339.824645996,387.465606689,0.197767823935,-12.2005243301,35.8963127136
2016-05-27 02:00:00,290.821289062,0.0,0.0,350.526580811,392.793457031,0.602506697178,-25.8575363159,17.8526058197
2016-05-27 03:00:00,291.552185059,0.0,0.0,353.301452637,397.461364746,1.45186781883,-39.4005432129,6.53141927719
2016-05-27 04:00:00,291.962585449,0.0,0.0,354.951843262,400.266693115,2.67528152466,-47.9747047424,0.181551262736
2016-05-27 05:00:00,291.742614746,0.0,0.0,354.920349121,400.382324219,2.81954908371,-46.8307609558,1.00915193558
2016-05-27 06:00:00,291.230072021,19.9710159302,2.39652132988,354.33605957,397.658966064,8.89316177368,-33.7091941833,2.19718503952
2016-05-27 07:00:00,293.3800354,179.797241211,21.5756664276,358.454650879,414.094085693,60.9802703857,4.71703147888,-33.3019638062
2016-05-27 08:00:00,295.532318115,373.144958496,44.7773971558,364.875488281,434.495117188,132.146209717,60.6835441589,-62.8900299072
2016-05-27 09:00:00,297.255584717,561.538024902,67.3845443726,370.905792236,452.079956055,209.773086548,121.586524963,-79.8606796265
2016-05-27 10:00:00,299.064758301,729.053771973,87.4864654541,375.936279297,468.992401123,272.288024902,178.342712402,-95.7176208496
2016-05-27 11:00:00,300.403656006,724.59564209,86.9514770508,404.829498291,485.494537354,283.993255615,181.562957764,-94.7405395508
2016-05-27 12:00:00,301.546691895,764.316772461,91.7179946899,415.04473877,490.8125,307.548339844,195.592681885,-93.5827941895
2016-05-27 13:00:00,303.09967041,969.572631836,116.348686218,396.715393066,509.018615723,373.036315918,260.319000244,-108.933990479
2016-05-27 14:00:00,302.760253906,942.872314453,113.144691467,395.714874268,506.584899902,372.370758057,264.191192627,-85.4775543213
2016-05-27 15:00:00,302.002624512,861.590148926,103.390823364,393.888000488,498.207641602,349.004730225,246.180221558,-61.5570220947
2016-05-27 16:00:00,300.65914917,732.239379883,87.8687057495,391.066467285,484.927124023,313.140045166,207.172866821,-33.4686851501
2016-05-27 17:00:00,299.546875,565.961242676,67.9153442383,389.265869141,470.585296631,270.158325195,140.120315552,-9.50370311737
2016-05-27 18:00:00,298.250854492,378.751464844,45.4501724243,383.65625,455.06262207,209.857940674,66.5089874268,11.6888246536
2016-05-27 19:00:00,296.729248047,186.981277466,22.43775177,378.167877197,439.313751221,134.940032959,1.46530282497,30.3396930695
2016-05-27 20:00:00,294.877624512,23.8380012512,2.86055970192,368.956604004,423.971466064,38.7049789429,-27.6911811829,43.5468330383
2016-05-27 21:00:00,294.359375,0.0,0.0,367.082885742,419.992095947,9.64423179626,-25.1976699829,36.8657569885
2016-05-27 22:00:00,293.87689209,0.0,0.0,365.665405273,416.944030762,8.11874961853,-26.3355445862,32.4333724976
2016-05-27 23:00:00,293.382446289,0.0,0.0,363.41293335,413.615539551,7.03067302704,-27.511264801,29.2252464294
2016-05-28 00:00:00,292.915252686,0.0,0.0,361.056945801,410.71484375,6.40649938583,-28.9455299377,26.5910663605
2016-05-28 01:00:00,292.735931396,0.0,0.0,361.314819336,409.181365967,6.20460128784,-31.4149780273,22.2629528046
2016-05-28 02:00:00,292.430541992,0.0,0.0,362.688598633,407.437683105,5.13840723038,-28.7926101685,20.4235553741
2016-05-28 03:00:00,291.78427124,0.0,0.0,362.690734863,403.932830811,3.75777959824,-23.0289325714,21.4227027893
2016-05-28 04:00:00,291.179626465,0.0,0.0,362.667694092,405.30255127,5.49737358093,-21.2233257294,22.0262126923
2016-05-28 05:00:00,290.744995117,0.0,0.0,360.510772705,398.284362793,5.89347791672,-21.7990570068,21.4849853516
2016-05-28 06:00:00,290.580932617,21.1447372437,2.53736782074,360.229400635,396.578216553,10.9616298676,-13.7168626785,16.3190479279
2016-05-28 07:00:00,293.105407715,182.542785645,21.9051380157,364.084838867,414.469085693,68.2525100708,16.103969574,-22.2961120605
2016-05-28 08:00:00,295.571929932,374.778839111,44.9734573364,370.675842285,435.162353516,142.642730713,66.8514251709,-52.819393158
2016-05-28 09:00:00,297.294464111,563.192993164,67.5831604004,375.607543945,453.570922852,208.989852905,135.409881592,-71.7063903809
2016-05-28 10:00:00,298.929962158,729.16003418,87.4991989136,380.312347412,469.115966797,273.054443359,192.438705444,-85.4977722168
2016-05-28 11:00:00,300.575805664,858.173706055,102.98084259,386.473815918,485.934356689,326.056671143,233.648376465,-95.546546936
2016-05-28 12:00:00,301.872650146,940.979614258,112.917572021,391.226470947,497.755157471,362.092498779,262.858886719,-96.9234161377
2016-05-28 13:00:00,303.111206055,971.079772949,116.529586792,394.574554443,506.519256592,383.207580566,265.48550415,-94.5444488525
2016-05-28 14:00:00,304.186676025,945.070983887,113.40851593,398.427703857,513.31829834,382.659820557,246.603439331,-89.0188369751
2016-05-28 15:00:00,303.751373291,864.650024414,103.757995605,397.679901123,508.387176514,358.061279297,228.319839478,-66.9454193115
2016-05-28 16:00:00,302.466308594,737.069274902,88.4483261108,392.243225098,496.235595703,316.524688721,191.562637329,-40.4132270813
2016-05-28 17:00:00,301.35144043,572.825561523,68.7390441895,385.81362915,481.879333496,264.339599609,128.726577759,-17.9949016571
2016-05-28 18:00:00,299.755523682,383.922485352,46.0707054138,382.189086914,465.283233643,201.6355896,62.5831336975,6.09624195099
2016-05-28 19:00:00,297.601593018,190.991134644,22.9189338684,374.811645508,444.853546143,131.436798096,1.69241380692,31.7191009521
2016-05-28 20:00:00,295.35647583,25.697561264,3.08370757103,367.38671875,426.500518799,39.7150382996,-25.7421035767,48.3843193054
2016-05-28 21:00:00,293.869171143,0.0,0.0,358.607208252,418.098327637,8.40998458862,-18.628660202,48.009552002
2016-05-28 22:00:00,293.171691895,0.0,0.0,351.752929688,412.724761963,6.99394989014,-23.1886081696,43.9916992188
2016-05-28 23:00:00,292.328399658,0.0,0.0,346.20010376,407.143371582,4.46624755859,-22.0804634094,42.5668563843
2016-05-29 00:00:00,291.423583984,0.0,0.0,344.406707764,402.051330566,2.35703992844,-16.9142894745,42.0651397705
2016-05-29 01:00:00,290.7628479,0.0,0.0,344.803710938,397.431732178,1.57179903984,-14.3356275558,39.5975112915
2016-05-29 02:00:00,290.210205078,0.0,0.0,344.971710205,394.013793945,0.811761617661,-11.2346601486,37.9965744019
2016-05-29 03:00:00,289.972198486,0.0,0.0,342.74432373,388.89831543,0.049801170826,-6.13303661346,39.3680953979
2016-05-29 04:00:00,289.803375244,0.0,0.0,341.415405273,386.140258789,-1.77035546303,-5.9091386795,36.4808616638
2016-05-29 05:00:00,289.146850586,0.0,0.0,336.064544678,383.427215576,-4.76169490814,-6.7182135582,34.9830055237
