,T2,SWDNB,SWUPB,LWDNB,LWUPB,LH,HFX,GRDFLX,TSK,QVAPOR,net_lw,r_net
2016-05-24 20:00:00,22.7317749023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.274780273,0.00978210847825,0.0,0.0
2016-05-24 21:00:00,20.409967041,0.0,0.0,332.345916748,388.059509277,-2.10818696022,-13.1627311707,38.1733398438,288.035217285,0.0099887913093,-55.7135925293,-55.7135925293
2016-05-24 22:00:00,18.3231750488,0.0,0.0,326.188873291,382.215270996,-4.45237636566,-9.70879077911,40.1268043518,286.991516113,0.0102581465617,-56.0263977051,-56.0263977051
2016-05-24 23:00:00,17.3216796875,0.0,0.0,322.540740967,378.784698486,-2.58912801743,-15.9312887192,37.2733383179,286.577178955,0.00945320446044,-56.2439575195,-56.2439575195
2016-05-25 00:00:00,16.0354858398,0.0,0.0,321.594390869,380.122314453,0.831377029419,-30.2322444916,29.2825908661,286.929046631,0.00937956757843,-58.527923584,-58.527923584
2016-05-25 01:00:00,15.5954528809,0.0,0.0,319.625915527,378.729827881,-0.531114697456,-30.8945960999,27.4200954437,286.590087891,0.00941061321646,-59.1039123535,-59.1039123535
2016-05-25 02:00:00,15.4011169434,0.0,0.0,318.119689941,377.929595947,-0.231233358383,-34.4710159302,24.7506465912,286.428649902,0.0092980870977,-59.8099060059,-59.8099060059
2016-05-25 03:00:00,14.6956726074,0.0,0.0,317.036621094,376.461761475,-4.37176132202,-30.3379230499,23.9850940704,286.062744141,0.00927176978439,-59.4251403809,-59.4251403809
2016-05-25 04:00:00,14.1892944336,0.0,0.0,314.96875,372.476043701,-8.49499511719,-21.7611446381,26.405878067,285.268371582,0.00908888783306,-57.5072937012,-57.5072937012
2016-05-25 05:00:00,13.5172363281,0.0,0.0,312.401062012,370.212982178,-9.54771518707,-21.7697849274,25.8161563873,284.868499756,0.00889039412141,-57.811920166,-57.811920166
2016-05-25 06:00:00,13.8808837891,5.64288139343,0.819871664047,313.17666626,366.136444092,-6.40306425095,-17.4203891754,25.511297226,284.430877686,0.00860397517681,-52.959777832,-48.1367681026
2016-05-25 07:00:00,15.3511291504,165.296554565,24.0164527893,313.481506348,385.877105713,50.1161346436,7.50489759445,-7.86313724518,288.775512695,0.00889463257045,-72.3955993652,68.8845024109
2016-05-25 08:00:00,18.3782287598,367.048431396,53.3295974731,319.323028564,411.035247803,116.366844177,59.393699646,-41.9092941284,293.72744751,0.0103134680539,-91.7122192383,222.006614685
2016-05-25 09:00:00,22.4271789551,567.076904297,82.3923568726,330.79284668,438.518280029,217.487365723,86.2376174927,-70.0219039917,298.406921387,0.0111717283726,-107.72543335,376.959114075
2016-05-25 10:00:00,24.9950195313,745.50769043,108.317138672,338.901672363,456.039031982,333.906311035,102.093963623,-81.9874572754,301.187347412,0.0100179994479,-117.137359619,520.053192139
2016-05-25 11:00:00,26.6763244629,884.887451172,128.568084717,346.725830078,470.148101807,417.467987061,125.785041809,-88.5555038452,303.368621826,0.00957403797656,-123.422271729,632.897094727
2016-05-25 12:00:00,27.6718383789,977.225524902,141.984161377,349.935577393,477.974914551,489.189910889,133.62449646,-85.5883712769,304.255065918,0.00802109763026,-128.039337158,707.202026367
2016-05-25 13:00:00,28.1680847168,1015.44152832,147.536651611,350.538513184,481.628417969,520.48034668,139.955627441,-79.228302002,304.57421875,0.00787021964788,-131.089904785,736.814971924
2016-05-25 14:00:00,28.6895080566,978.867553711,142.222717285,355.876190186,482.431610107,507.94052124,127.849662781,-74.8568878174,305.029663086,0.00805545598269,-126.555419922,710.089416504
2016-05-25 15:00:00,28.9644714355,891.12121582,129.4737854,366.498168945,485.093566895,478.585021973,103.780082703,-65.2956314087,304.659515381,0.00865176785737,-118.595397949,643.052032471
2016-05-25 16:00:00,29.0406433105,780.352783203,113.379905701,365.804962158,477.82925415,414.897644043,78.9714660645,-59.060760498,304.552612305,0.00936379656196,-112.024291992,554.94858551
2016-05-25 17:00:00,28.9486938477,603.558410645,87.6928710938,371.080932617,472.347900391,354.372924805,21.2022075653,-41.8044319153,302.714630127,0.00873006135225,-101.266967773,414.598571777
2016-05-25 18:00:00,28.5073486328,407.146087646,59.1555366516,369.724273682,463.227508545,238.252258301,-10.6706924438,-29.1948738098,301.244140625,0.00943854544312,-93.5032348633,254.487316132
2016-05-25 19:00:00,25.7323547363,205.675811768,29.8832836151,368.043914795,447.611328125,109.920288086,-15.630865097,-6.16068172455,298.197418213,0.0124840689823,-79.5674133301,96.2251148224
2016-05-25 20:00:00,23.1664978027,34.5489463806,5.01972436905,356.385223389,420.300811768,38.6376533508,-46.1032295227,23.5520591736,293.58026123,0.010198507458,-63.9155883789,-34.3863663673
2016-05-25 21:00:00,21.211328125,0.0,0.0,353.015289307,403.823883057,2.42930436134,-14.2197294235,37.532623291,290.877349854,0.0106554068625,-50.80859375,-50.80859375
2016-05-25 22:00:00,18.7835327148,0.0,0.0,339.696044922,392.028869629,-0.257955610752,-2.88088655472,47.0598640442,288.616760254,0.0107401357964,-52.332824707,-52.332824707
2016-05-25 23:00:00,18.7023254395,0.0,0.0,336.744354248,387.828735352,-0.988973915577,-6.24303197861,43.348865509,288.174224854,0.0104566551745,-51.0843811035,-51.0843811035
2016-05-26 00:00:00,17.726953125,0.0,0.0,331.884338379,384.549835205,-1.83308112621,-6.24881124496,42.8818855286,287.343902588,0.010181822814,-52.6654968262,-52.6654968262
2016-05-26 01:00:00,16.9103027344,0.0,0.0,327.191223145,378.947631836,-2.31323027611,-5.213722229,43.1858215332,286.421569824,0.00988104846328,-51.7564086914,-51.7564086914
2016-05-26 02:00:00,15.6576477051,0.0,0.0,323.628387451,375.261138916,-4.71824264526,-4.11748981476,41.9825973511,285.745483398,0.0105427755043,-51.6327514648,-51.6327514648
2016-05-26 03:00:00,14.7913757324,0.0,0.0,322.770812988,373.45501709,-5.29048538208,-3.52325129509,40.2052574158,285.207824707,0.0105766952038,-50.6842041016,-50.6842041016
2016-05-26 04:00:00,14.2050720215,0.0,0.0,371.808227539,374.781524658,1.2605099678,2.7667734623,18.7584209442,287.528076172,0.00988708622754,-2.97329711914,-2.97329711914
2016-05-26 05:00:00,14.7326293945,0.0,0.0,323.366394043,381.219360352,-6.44576787949,-4.90192222595,35.047328949,284.802642822,0.0102833686396,-57.8529663086,-57.8529663086
2016-05-26 06:00:00,15.0526367188,6.39257955551,0.927435278893,328.250335693,369.943817139,-2.72169733047,-4.76509857178,29.6278896332,284.966796875,0.00923349242657,-41.6934814453,-36.2283371687
2016-05-26 07:00:00,16.1985107422,159.536010742,23.145483017,328.060791016,394.103668213,42.1022148132,16.880771637,-8.21004867554,290.156616211,0.00988083984703,-66.0428771973,70.347650528
2016-05-26 08:00:00,18.6584716797,354.607421875,51.4464263916,333.338623047,416.252624512,105.510757446,73.8285064697,-36.7502288818,294.521881104,0.0112917702645,-82.9140014648,220.246994019
2016-05-26 09:00:00,22.8772521973,549.248657227,79.684967041,348.453460693,443.886169434,213.543182373,93.0227127075,-64.1604232788,299.212097168,0.0117974979803,-95.4327087402,374.130981445
2016-05-26 10:00:00,25.6575256348,719.468505859,104.380462646,360.5284729,464.29498291,312.084472656,117.286811829,-79.3932266235,302.493560791,0.0120448302478,-103.76651001,511.321533203
2016-05-26 11:00:00,27.7657104492,860.140197754,124.789146423,371.819061279,483.021759033,388.828948975,144.274581909,-90.0060653687,305.309265137,0.0127451512963,-111.202697754,624.148353577
2016-05-26 12:00:00,29.2544799805,948.656677246,137.631057739,380.518066406,495.207275391,439.788024902,161.296844482,-94.1219100952,307.267303467,0.0133413486183,-114.689208984,696.336410522
2016-05-26 13:00:00,29.5830627441,979.835876465,142.154586792,390.369262695,501.337310791,456.394226074,184.674758911,-87.6622161865,307.667602539,0.0145312082022,-110.968048096,726.713241577
2016-05-26 14:00:00,30.2700439453,956.34185791,138.746002197,395.455108643,500.047424316,470.546173096,164.518783569,-78.7575073242,307.543182373,0.0137384850532,-104.592315674,713.003540039
2016-05-26 15:00:00,30.3450256348,883.22253418,128.137863159,391.823791504,494.638366699,458.570220947,130.144622803,-65.1253128052,306.507629395,0.0127499960363,-102.814575195,652.270095825
2016-05-26 16:00:00,30.1793762207,757.567871094,109.907920837,392.788452148,487.77154541,416.131469727,86.9278564453,-51.5939941406,305.249664307,0.0125890327618,-94.9830932617,552.676856995
2016-05-26 17:00:00,29.399987793,592.824157715,86.0069351196,390.45324707,477.761505127,338.580871582,45.4160461426,-37.2608070374,303.613739014,0.0128528550267,-87.3082580566,419.508964539
2016-05-26 18:00:00,27.9430175781,400.645721436,58.1256561279,389.090332031,464.429473877,247.166320801,3.44266152382,-19.2796859741,301.176940918,0.0128991995007,-75.3391418457,267.180923462
2016-05-26 19:00:00,25.741204834,50.5583267212,7.33500003815,420.799407959,449.815216064,84.8163833618,-56.0264205933,6.36040639877,297.307098389,0.0122539317235,-29.0158081055,14.2075185776
2016-05-26 20:00:00,24.7268005371,15.5833759308,2.26083564758,414.923706055,437.185577393,49.0598487854,-49.4115905762,8.5015668869,296.561309814,0.0117265917361,-22.2618713379,-8.93933105469
2016-05-26 21:00:00,23.4149414063,0.0,0.0,375.292999268,428.463043213,12.6589164734,-49.8252830505,14.592590332,295.182739258,0.0116266310215,-53.1700439453,-53.1700439453
2016-05-26 22:00:00,22.3131958008,0.0,0.0,371.945068359,422.619293213,9.70270729065,-41.5964126587,17.6846580505,294.203704834,0.0118206487969,-50.6742248535,-50.6742248535
2016-05-26 23:00:00,21.9888549805,0.0,0.0,401.861328125,425.105834961,9.10062503815,-19.9150257111,12.2655735016,294.48916626,0.0123798772693,-23.2445068359,-23.2445068359
2016-05-27 00:00:00,21.6637207031,0.0,0.0,404.61618042,423.4637146,6.20638990402,-13.0080604553,11.6941976547,294.120697021,0.0127085344866,-18.8475341797,-18.8475341797
2016-05-27 01:00:00,21.727746582,0.0,0.0,402.256469727,415.622894287,7.23812770844,-19.5483512878,8.3506603241,294.111663818,0.0125302113593,-13.3664245605,-13.3664245605
2016-05-27 02:00:00,21.4151855469,0.0,0.0,372.010009766,414.030883789,5.71569252014,-37.0729484558,12.2301778793,293.106903076,0.0121120084077,-42.0208740234,-42.0208740234
